"KEGG ID","Names","chEBI","Occurence"
"C04678","Dolichyl N-acetyl-alpha-D-glucosaminyl phosphate","17198","1"
"C04679","Protein N6-[(R)-4-amino-2-hydroxybutyl]-L-lysine|[eIF5A-precursor]-hypusine","","1"
"C04680","Retinyl-ester-(cellular-retinol-binding-protein)","","1"
"C04681","[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]|Biotin-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[acetyl-CoA carboxylase]|Biotin-[acetyl-CoA carboxylase]","","1"
"C04682","[Methylmalonyl-CoA:pyruvate carboxytransferase]|Holo-[methylmalonyl-CoA:pyruvate carboxytransferase]|Biotin-[methylmalonyl-CoA:pyruvate carboxytransferase]|Holo-[methylmalonyl-CoA-carboxyltransferase]|Biotin-[methylmalonyl-CoA-carboxyltransferase]","","1"
"C04683","alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-R","16361","1"
"C04684","m-Carboxyphenyl phenylacetamidomethylphosphonate","10586","0"
"C04685","(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate|Prostaglandin A1|PGA1","15545","1"
"C04686","(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate|Prostaglandin C1","15546","1"
"C04687","(1S,3R,4S)-3,4-Dihydroxycyclohexane-1-carboxylate","15566","1"
"C04688","(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]|(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]|beta-Hydroxymyristyl-[acyl-carrier protein]|HMA","","4"
"C04690","2-(Hydroxymethyl)-3-(acetamidomethylene)succinate|2-(Acetamidomethylene)-3-(hydroxymethyl)succinate","16216","2"
"C04691","2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate|3-Deoxy-D-arabino-hept-2-ulosonate 7-phosphate|3-Deoxy-arabino-heptulonate 7-phosphate|3-Deoxy-D-arabino-heptulosonic acid 7-phosphate|DAHP|2-Dahp","18150","2"
"C04692","Peptide 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine|2-[3-Carboxy-3-(methylammonio)propyl]-L-histidine|EF-2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine|Elongation factor 2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine","16475","2"
"C04695","5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside","17391","1"
"C04696","7-Methylguanosine 5'-triphospho-5'-oligonucleotide|m7GpppX","","1"
"C04698","Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside","17512","1"
"C04700","UDP-N-acetylmuramoyl-L-alanyl-alpha-D-glutamyl-L-lysine","28289|9837","0"
"C04702","UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)|UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine|UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine","70768","4"
"C04703","alpha-D-Galactosyl-(1,1')-sn-glycerol 3-phosphate|1-O-alpha-D-Galactosyl-sn-glycerol 3-phosphate","17954","1"
"C04706","cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide|cis-2-Chlorodienelactone|cis-4-Carboxymethylene-2-chlorobut-2-en-4-olide","16211","3"
"C04707","(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate|(5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprosta-13-enoate","15547","3"
"C04708","1-(beta-D-Galactosyl)-2-(2-hydroxyacyl)sphingosine","16994","1"
"C04709","3'-Deoxydihydrostreptomycin 3'alpha,6-bisphosphate","27553","0"
"C04711","5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene","17229","1"
"C04712","(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate","15838","3"
"C04713","N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate|N6-(Dimethylallyl)adenosine 5'-phosphate|Isopentenyl-AMP","15819","4"
"C04714","alpha-D-Galactosyl-beta-D-galactosyldiacylglycerol|1,3-Diacyl-2-O-(alpha-D-galactosyl(1->4)-O-beta-D-galactosyl)-sn-glycerol","","0"
"C04715","Nuatigenin|(20S,22S,25S)-22,25-Epoxyfurost-5-ene-3beta,26-diol","15574","1"
"C04717","(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid|(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate|13(S)-HPODE|13S-Hydroperoxy-9Z,11E-octadecadienoic acid","15655","1"
"C04718","1,6,6-Trimethyl-2,7-dioxabicyclo[3.2.2]nonan-3-one","29064","2"
"C04719","1-Hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone","17770","1"
"C04720","DIMBOA|2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one|2,4-Dihydroxy-7-methoxy-1,4-benzoxazin-3-one","18048","1"
"C04722","3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate|3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oate|3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanate","18402","4"
"C04724","D-Mannosyl-L-rhamnosyl-D-galactose-1-diphospholipid|alpha-D-Mannosyl-(1->4)-alpha-L-rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol","","2"
"C04725","Oligosaccharide containing 6-methyl-D-glucose units|1,4-alpha-D-Glucooligosaccharide containing 6-O-methyl-D-glucose units","16041","1"
"C04726","[3-Methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]|[3-Methyl-2-oxobutanoate dehydrogenase (lipoamide)]","","2"
"C04727","[Propionyl-CoA:carbon-dioxide ligase (ADP-forming)]|[Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]|Biotin-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]|Biotin-[propionyl-CoA-carboxylase (ATP-hydrolysing)]","","1"
"C04728","tRNA containing 5-methylaminomethyl-2-thiouridylate|tRNA containing mnm5s2U","16819","1"
"C04729","trans-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide|trans-2-Chlorodienelactone","16773","3"
"C04730","GM3|(N-Acetylneuraminyl)-D-galactosyl-D-glucosylceramide|alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide|N-Acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide|Neu5Ac-alpha2->3Gal-beta1->4Glc-beta1->1'Cer","15681","6"
"C04731","1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine N-oxide","17472","1"
"C04732","5-Amino-6-(1-D-ribitylamino)uracil|5-Amino-6-(D-ribitylamino)uracil|6-(1-D-Ribitylamino)-5-amino-2,4-dihydroxypyrimidine|6-(1-D-Ribitylamino)-5-aminouracil|4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine","15934","4"
"C04733","4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate","15863","0"
"C04734","1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide|5'-Phosphoribosyl-5-formamido-4-imidazolecarboxamide|5-Formamido-1-(5-phosphoribosyl)imidazole-4-carboxamide|5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide|FAICAR","18381","3"
"C04735","Apo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]|Apo-[acetyl-CoA carboxylase]","","1"
"C04736","Apo-[methylmalonyl-CoA:pyruvate carboxytransferase]|Apo-[methylmalonyl-CoA-carboxyltransferase]","","1"
"C04737","alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide|Globotriosylceramide|Trihexosylceramide|Gal-alpha1->4Gal-beta1->4Glc-beta1->1'Cer|Gal-alpha1->4LacCer|D-Galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide","18313","4"
"C04738","UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine|UDP-3-O-(beta-hydroxymyristoyl)-N-acetylglucosamine|UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetylglucosamine","61537","2"
"C04739","UDP-N-acetyl-6-(alpha-D-galactose-1-phospho)-alpha-D-glucosamine|UDP-N-acetyl-6-(D-galactose-1-phospho)-D-glucosamine","68681","1"
"C04740","alpha-N-Acetylneuraminyl-2,6-beta-galactosyl-1,4-beta-D-glucosylceramide|Neu5Ac-alpha2->6Gal-beta1->4Glc-beta1->1'Cer","15679","1"
"C04741","Alprostadil|Prostaglandin E1|(13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate|PGE1","15544","1"
"C04742","(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate|(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate|(5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid|15(S)-HETE","15558","3"
"C04744","2,6-Diamino-4-hydroxy-5-(N-methyl)formamidopyrimidine","28643","0"
"C04746","3beta-Hydroxy-5alpha-cholest-7-ene-4alpha-carboxylate","1720","0"
"C04747","[Citrate-oxaloacetate-lyase((pro-3S)-CH2COO-->acetate)]","","1"
"C04748","Protein C-terminal S-farnesyl-L-cysteine methyl ester","15818","3"
"C04749","[[Hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]","","1"
"C04750","beta-D-Galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R|beta-D-Galactosyl-1,3-N-acetyl-D-galactosaminyl-R|Glycoprotein D-galactosyl-1,3-N-acetyl-D-galactosamine|beta-D-Galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-R","16117|22783","2"
"C04751","1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate|1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxylate|1-(5'-Phosphoribosyl)-5-amino-4-carboxyimidazole|5'-Phosphoribosyl-5-amino-4-imidazolecarboxylate|1-(5'-Phosphoribosyl)-4-carboxy-5-aminoimidazole|5'-Phosphoribosyl-4-carboxy-5-aminoimidazole|5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate","28413","3"
"C04752","2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate|4-Amino-2-methyl-5-diphosphomethylpyrimidine","16629","3"
"C04755","Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose","","1"
"C04756","O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine|Phosphatidalethanolamine|Plasmenylethanolamine|Ethanolamineplasmalogen|2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine|1-Alkenyl-2-acylglycerophosphoethanolamine","17476","7"
"C04758","(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate|15-Dehydro-prostaglandin D2","15557","1"
"C04759","1,2-D-Glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen|Procollagen alpha-D-glucosyl-1,2-beta-D-galactosyl-L-hydroxylysine","","1"
"C04760","3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA","15493","2"
"C04763","Apo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]|Apo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]","","1"
"C04767","O-(1->4)-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate|alpha-L-Dihydrostreptosyl-(1->4)-streptidine 6-phosphate","17265","2"
"C04768","[Hydroxymethylglutaryl-CoA reductase (NADPH)] phosphate","","2"
"C04771","L-Mimosine|Leucenol|(S)-2-Amino-3-(3-hydroxy-4-oxo-4H-pyridin-1-yl)propanoate","29063","1"
"C04772","1,6-alpha-D-Mannosyl-1,6-alpha-D-mannosyloligosaccharide","28144","1"
"C04773","3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate|5-Pyridoxate|5-Pyridoxic acid","16409|30960","2"
"C04775","D-Galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-R|D-Galactosyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosyl-R|beta-D-Galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-R","17227","1"
"C04776","Peptide beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-L-serine|T antigen","16981","1"
"C04778","N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole|alpha-Ribazole 5'-phosphate","16837","2"
"C04779","rRNA containing a single residue of 2'-O-methyladenosine","","0"
"C04780","8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate|OPC-8:0","15720","2"
"C04783","cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate|Phthalate-4,5-cis-dihydrodiol","17692","2"
"C04785","13(S)-HPOT|(9Z,11E,15Z)-(13S)-Hydroperoxyoctadeca-9,11,15-trienoate|(9Z,11E,15Z)-(13S)-13-Hydroperoxyoctadeca-9,11,15-trienoic acid|13(S)-HpOTrE|13-HPOT","48905","4"
"C04787","Cyanidin 3-rutinoside 5-glucoside chloride","","0"
"C04789","Lysosomal-enzyme N-acetyl-D-glucosaminyl-phospho-D-mannose","","1"
"C04790","N-Acetyl-beta-D-mannosaminouronosyl-1,4-lipopolysaccharide","17940","0"
"C04791","beta-D-Galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein","","2"
"C04792","1-Acyl-2-[(S)-12-hydroxyoleoyl]-sn-glycero-3-phosphocholine","16999","1"
"C04793","3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione","15896","2"
"C04794","3-(4-Deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine|3-(4-Deoxy-alpha-L-threo-hex-4-enopyranosyluronic acid)-2-acetamido-2-deoxy-D-glucose","16126","1"
"C04796","4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde","16098","3"
"C04797","5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde","17671","3"
"C04798","5-Amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone|Chloridazon catechol|5-Amino-4-chloro-2-(2',3'-dihydroxyphenyl)-3(2H)-pyridazinone","17147","1"
"C04799","Colominic acid(non-reducing N- or O-acylneuraminyl residue)|Colominate","29018","1"
"C04800","D-Glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan","","1"
"C04801","[3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]|Biotin-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]|Holo-[methylcrotonoyl-CoA-carboxylase]|Biotin-[methylcrotonoyl-CoA-carboxylase]","","1"
"C04802","m7G(5')pppRm-mRNA|5'-(N7-Methyl 5'-triphosphoguanosine)-(2'-O-methyl-purine-ribonucleotide)-[mRNA]|5'-(N7-Methyl 5'-triphosphoguanosine)-(2'-O-methyl-purine-ribonucleotide)-(ribonucleotide)-[mRNA]","10596","2"
"C04804","UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanine|UDP-N-acetylmuramoyl-L-Ala-D-gamma-Glu-6-carboxy-L-Lys-D-Ala|UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-6-carboxy-L-lysyl-D-alanine","28360","1"
"C04805","5(S)-HETE|5-Hydroxyeicosatetraenoate|5-HETE|(6E,8Z,11Z,14Z)-(5S)-5-Hydroxyicosa-6,8,11,14-tetraenoic acid","28209","1"
"C04806","17alpha-(N-Acetyl-D-glucosaminyl)-estradiol 3-D-glucuronoside","16129","1"
"C04807","2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine|2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate|7,8-Dihydropterin pyrophosphate","15998|73083","3"
"C04808","D-Abequosyl-D-mannosyl-rhamnosyl-D-galactose-1-diphospholipid","16640","1"
"C04809","Membrane-derived-oligosaccharide 6-(glycerophospho)-D-glucose","","1"
"C04810","Oligosaccharide with 4-deoxy-alpha-D-gluc-4-enuronosyl group|Oligosaccharide with 4-deoxy-alpha-D-galact-4-enuronosyl group","7763","1"
"C04811","1-(5-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole","28208","0"
"C04812","1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol 4-phosphate","27695","0"
"C04814","4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol","15717","4"
"C04815","5-D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxycyclohex-2-en-1-one|5D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxy-2-cyclohexen-1-one","16694","1"
"C04816","Dephospho-[[hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]","","1"
"C04817","Protein alpha-D-glucosyl-1,2-beta-D-galactosyl-L-hydroxylysine","","1"
"C04818","beta-D-Galactosyl-1,4-N-acetyl-beta-D-glucosaminylglycopeptide","16979","1"
"C04819","beta-D-Galactosyl-beta-1,4-N-acetyl-D-glucosaminylglycopeptide","10393","0"
"C04822","8(R)-HPETE|(5Z,9E,11Z,14Z)-(8R)-8-Hydroperoxyeicosa-5,9,11,14-tetraenoate|(5Z,9E,11Z,14Z)-(8R)-8-Hydroperoxyicosa-5,9,11,14-tetraenoate","15629","1"
"C04823","1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole|1-(5'-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole|5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole|(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate|SAICAR","18319","2"
"C04824","Lipid X|2,3-Diacylglucosamine 1-phosphate|2,3-Bis[(3R)-3-hydroxymyristoyl]-alpha-D-glucosaminyl 1-phosphate|2,3-Bis(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl 1-phosphate","16942","2"
"C04825","3-beta-D-Galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein","","1"
"C04827","Apo-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]|Apo-[methylcrotonoyl-CoA-carboxylase]","","1"
"C04829","Deacetyl-[citrate-oxaloacetate-lyase((pro-3S)-CH2COO-->acetate)]","","1"
"C04830","beta-D-Glucosyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol","15696","1"
"C04831","DIMBOA-glucoside|2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucoside|2,4-Dihydroxy-7-methoxy-1,4-benzoxazin-3-one glucoside","16603","2"
"C04832","Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide|Coenzyme M-HTP heterodisulfide|CoM-S-S-CoB|N-{7-[(2-Sulfoethyl)dithio]heptanoyl}-3-O-phospho-L-threonine","18209","4"
"C04833","m7G(5')pppm6Am-mRNA|mRNA containing an N6,2'-O-dimethyladenosine cap","17894","1"
"C04834","Juvenile hormone II acid|(2E,6E)-(10R,11S)-10,11-Epoxy-3,7,11-trimethyltrideca-2,6-dienoic acid|(2E,6E)-(10R,11S)-10,11-Epoxy-3,7,11-trimethyltrideca-2,6-dienoate|(2E,6E)-10,11-Epoxy-3,7,11-trimethyltridecadienoic acid","15580","1"
"C04835","(5Z,13E)-6,9alpha-Epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate","15556","1"
"C04839","3-O-(3,6-Anhydro-alpha-D-galactopyranosyl)-D-galactose 4-O-sulfate","1612","0"
"C04840","3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate","18134","6"
"C04843","(5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoate|(5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoic acid|Trioxilin A3","15630","1"
"C04844","3-Hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1(10),2-dien-4-oate|(1E,2Z)-3-Hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1(10),2-dien-4-oate|DSHA","29086","2"
"C04845","N-Acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide|Lactotriaosylceramide|Lactotriosylceramide|N-Acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide|Ceramidetrisaccharide|Ceramidetrihexoside|N-Acetyl-D-glucosaminyl-1,3-beta-D-galactocyl-1,4-beta-glucosyl-1,1'-beta-ceramide|GlcNAc-beta1->3Gal-beta1->4Glc-beta1->1'Cer|GlcNAc-beta1->3LacCer|N-Acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide","17103","3"
"C04847","alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosamine","18217|62327","1"
"C04848","Variant-surface-glycoprotein 1,2-dimyristyl-sn-phosphatidylinositol|Variant-surface-glycoprotein 1,2-ditetradecanoyl-sn-phosphatidylinositol","18214","1"
"C04849","(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid|(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoate|Hepoxilin A3","15631","1"
"C04850","1,3-beta-D-Galactosyl-(alpha-1,4-L-fucosyl)-N-acetyl-D-glucosaminyl-R","18914","1"
"C04851","MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol|Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine","37738","2"
"C04853","20-OH-Leukotriene B4|20-OH-LTB4|20-Hydroxy-leukotriene B4|(6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyeicosa-6,8,10,14-tetraenoate|(6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyicosa-6,8,10,14-tetraenoate","15646","2"
"C04855","alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-R|alpha-D-Galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-N-acetylglucosaminyl-R","17785","1"
"C04856","(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide|(S)-NADH-hydrate|(S)-NADHX|(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide|6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide","15644|44236","3"
"C04858","Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]|7-O-(beta-D-Apiofuranosyl-1,2-beta-D-glucosyl)-5,7,4'-trihydroxyflavone|Apiin|7-[(2-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-5-hydroxy-2-(4-hydroxy-phenyl)-4H-1-benzopyran-4-one|Apioside","15932","2"
"C04859","(20S,22S,25S)-22,25-Epoxyfurost-5-ene-3beta,26-diol 3-O-beta-D-glucoside","15575","1"
"C04861","1,3-alpha-D-Mannosyl-1,2-alpha-D-mannosyl-1,2-alpha-D-mannosyl-D-mannose","17631","1"
"C04862","1-Hexadecylthio-1-deoxy-2-hexadecylphosphono-sn-glycero-3-phosphocholine","28781","0"
"C04864","4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate","15931","3"
"C04865","4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 6-sulfate|beta-D-4-deoxy-Delta4-GlcAp-(1->3)-D-GalNAc6S","16735","2"
"C04866","alpha-D-Galactosyl-(1,3)-[alpha-L-fucosyl-(1,2)]-D-galactoside|Glycoprotein alpha-D-galactosyl-(1,3)-[alpha-L-fucosyl-(1,2)]-D-galactose|alpha-D-Galactosyl-(1->3)-[alpha-L-fucosyl(1->2)]-D-galactosyl-R","5484","1"
"C04867","Juvenile hormone II|Methyl (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate","15581","1"
"C04871","Haloxyfop|(RS)-2-[4-(3-Chloro-5-trifluoromethyl-2-pyridyloxy)phenoxy]propionic acid","365","0"
"C04872","1,2-Diacyl-3-[3-(alpha-D-N-acetylneuraminyl)-beta-D-galactosyl]-sn-glycerol","16599","1"
"C04873","1-Hexadecylthio-2-hexadecanoylamino-1,2-dideoxy-sn-glycero-3-phosphocholine","27712","0"
"C04874","2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine|Dihydroneopterin|7,8-Dihydroneopterin","17001","4"
"C04875","(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol|(+/-)-Dihydrobunolol","29109","1"
"C04876","N-Acetyl-D-glucosaminyl-N-acetylmuramoyl-L-Ala-D-glutamyl-6-carboxy-L-lysine","28514","0"
"C04877","UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate|UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate|UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate|UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diamino-heptanedioate","84805","2"
"C04880","N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(R1)-beta-D-mannosyl-R2|3-(2-[N-Acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D-mannosyl-R","32618","1"
"C04881","N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol","16073","1"
"C04882","UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine|UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine|UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine","18199","3"
"C04883","(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-3,4-dihydro-1(2H)-naphthalenone|(+/-)-Bunolol","29110","1"
"C04884","N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide|GM2|Tay-Sachs ganglioside|N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-1,4-beta-D-glucosyl-N-acylsphingosine|GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer","51013","7"
"C04885","alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-D-galactosaminyl-R|N-Acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->3)-N-acetyl-D-galactosaminyl-R","16901","1"
"C04886","alpha-N-Acetylneuraminyl-2,6-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine","17725","1"
